FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
30 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,28.0,0.6604718810601163
30 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,21.0,0.2561409179056238
30 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.2060546875
30 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
30 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,38.0,0.6604718810601163
30 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,42.0,0.4043309631544926
30 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,16.0,0.1474609375
30 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
30 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,43.0,0.3501939237233355
30 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,53.0,0.04767291531997415
30 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,22.0,0.365234375
30 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,5.0,0.3125
30 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,36.0,0.807530704589528
30 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,19.0,0.1801874595992243
36 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,21.0,0.3203125
36 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
36 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,38.0,0.6604718810601163
36 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,58.0,0.010342598577892697
36 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,17.0,0.1748046875
36 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
36 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,46.0,0.2160633484162896
36 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,56.0,0.020200387847446672
36 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,29.0,0.7646484375
36 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
36 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,33.0,1.0
36 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,28.0,0.6604718810601163
40 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,26.0,0.5771484375
40 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
40 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,38.0,0.6604718810601163
40 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,48.0,0.14899806076276664
40 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.2060546875
40 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
40 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,48.0,0.14899806076276664
40 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,57.0,0.014544279250161603
