FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
40 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,23.0,0.49225774225774227
40 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,17.0,0.1805694305694306
40 Hz (S: 20),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,16.0,0.275390625
40 Hz (S: 20),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
40 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,25.0,0.6353646353646354
40 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,31.0,0.9577922077922078
40 Hz (S: 20),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,16.0,0.275390625
40 Hz (S: 20),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
40 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,44.0,0.14710289710289712
40 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,52.0,0.015984015984015984
40 Hz (S: 20),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.76953125
40 Hz (S: 20),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
40 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,15.0,0.11788211788211789
40 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,22.0,0.42782217782217785
6 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,22.0,0.625
6 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
6 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,31.0,0.9577922077922078
6 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,33.0,0.7924575424575424
6 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,25.0,0.845703125
6 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
6 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,29.0,0.9577922077922078
6 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,32.0,0.8748751248751249
6 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,27.0,1.0
6 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,0.5625
6 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,31.0,0.9577922077922078
6 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,27.0,0.7924575424575424
