Frequency,Harmonic,Average,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,M1,T7,C3,Cz,C4,T8,M2,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,O2,AF7,AF3,AF4,AF8,F5,F1,F2,F6,FC3,FCz,FC4,C5,C1,C2,C6,CP3,CP4,P5,P1,P2,P6,PO5,PO3,PO4,PO6,FT7,FT8,TP7,TP8,Oz
10,60,4.185,4.901,4.831,5.434,3.151,4.360,5.504,5.733,4.922,3.775,5.204,5.328,0.972,4.488,3.905,4.746,4.768,3.956,0.633,3.470,4.807,4.858,4.370,2.849,4.742,4.321,4.161,4.034,3.631,3.369,3.770,4.112,2.559,5.131,5.710,6.919,4.085,5.589,5.338,5.228,4.551,5.086,4.640,4.195,4.585,4.423,2.453,4.340,3.842,4.616,4.277,4.045,3.465,4.563,4.095,3.811,3.958,3.182,-0.932,4.867,3.710,3.836
10,70,4.388,4.197,3.026,2.284,4.807,5.207,4.767,3.319,2.348,4.317,5.015,4.171,-0.334,5.209,5.255,5.022,4.552,4.224,3.191,4.830,4.849,4.839,4.772,4.865,5.656,5.124,4.897,4.654,5.337,4.921,5.633,5.319,4.375,5.230,3.626,3.261,5.160,5.083,4.145,2.186,5.236,4.913,3.112,4.076,4.673,4.349,2.388,4.560,4.412,5.069,5.005,4.635,4.664,6.053,5.381,4.992,5.433,4.297,0.144,5.492,4.187,5.286
10,80,1.155,0.884,1.188,2.301,-0.480,0.820,0.797,1.294,1.995,0.721,0.974,0.770,-1.141,0.358,0.519,1.224,1.089,1.375,-2.110,0.204,0.834,1.144,1.562,1.810,0.958,1.744,1.467,2.131,1.630,2.065,2.609,2.765,-0.194,0.635,1.816,2.579,0.351,1.161,1.143,1.172,0.569,1.013,0.095,0.295,0.965,1.296,0.051,1.140,1.529,1.360,1.486,1.974,1.398,1.454,2.259,2.764,2.239,-0.327,1.385,1.061,1.215,3.101
10,90,2.863,0.441,2.148,2.688,1.681,3.049,3.320,3.179,2.044,3.258,3.711,3.543,1.989,2.484,3.709,3.552,3.186,2.241,-0.008,2.690,4.067,3.031,3.154,1.997,3.819,3.339,3.166,2.667,3.490,3.386,3.680,3.993,1.981,3.074,3.360,2.960,2.405,3.019,2.904,2.238,4.006,3.535,2.989,3.235,3.055,2.831,0.657,3.545,2.846,3.376,3.260,3.147,2.605,3.684,3.754,3.708,3.652,1.230,-0.821,3.693,1.751,4.256
10,100,-0.594,-4.396,-1.024,1.702,-4.097,-3.115,-1.437,-0.335,-2.108,-2.055,-0.889,-0.271,-3.500,0.158,-0.307,-0.446,-0.087,-1.459,-0.090,1.137,0.575,1.038,0.255,0.145,0.182,-0.557,0.433,-0.123,-0.558,0.276,0.433,0.360,-3.540,-3.598,0.145,0.477,-3.561,-2.266,-1.328,-0.562,-1.746,0.303,-1.288,-1.035,0.122,-0.258,-0.753,0.278,-0.406,0.709,2.144,0.957,0.954,1.772,1.222,1.791,-1.189,-3.259,-2.633,-0.889,0.143,1.202
20,20,6.026,1.834,1.683,3.520,5.782,2.341,0.821,2.151,6.188,5.460,1.946,1.322,3.435,8.440,8.029,5.217,2.371,4.546,4.867,6.640,7.891,6.367,6.096,6.180,9.612,9.259,9.195,9.087,7.570,12.857,13.634,12.532,4.230,1.297,2.311,5.382,4.404,0.957,1.024,4.146,4.012,0.894,2.466,6.508,3.432,3.584,3.990,6.785,6.353,9.684,8.893,8.745,8.432,11.120,12.125,11.456,9.144,5.608,3.870,8.324,6.756,14.783
20,40,5.904,1.708,2.635,2.541,3.468,5.757,6.859,5.896,4.303,4.418,7.595,7.705,2.286,2.591,4.457,6.989,8.412,8.071,3.635,4.868,5.794,8.639,9.072,7.779,4.479,7.400,9.580,9.043,6.352,9.668,6.223,6.630,1.648,4.743,4.608,2.723,4.000,6.919,6.506,4.339,6.472,8.053,6.506,5.525,7.659,8.334,4.360,7.120,8.586,5.701,8.788,9.393,7.725,4.343,7.555,8.595,5.583,2.697,-0.698,4.957,5.264,7.320
20,60,2.048,1.806,2.264,2.913,0.259,1.696,2.538,2.158,0.540,1.427,2.688,2.816,-1.414,2.430,1.857,2.525,2.855,1.735,-0.890,1.814,2.405,2.887,2.575,1.274,2.709,2.623,3.023,2.588,2.405,3.508,3.344,3.331,-0.460,1.982,2.497,2.970,0.906,2.790,2.007,1.460,2.172,2.773,1.934,1.889,2.157,2.338,0.292,2.467,2.234,2.358,2.708,2.470,2.133,2.951,2.929,2.869,2.963,0.997,-3.092,2.753,1.716,4.101
20,80,1.202,0.287,1.409,1.557,-0.987,0.830,1.037,1.211,1.020,0.387,1.680,1.512,-2.074,1.191,0.387,1.819,1.638,1.441,-2.470,-0.274,1.567,1.801,2.177,1.436,1.645,1.749,1.582,2.197,1.469,2.068,1.994,2.237,0.730,1.079,1.366,1.982,0.212,1.568,1.542,0.562,1.391,1.876,0.473,0.730,2.150,1.758,-0.292,1.708,2.050,1.939,2.123,2.534,1.877,1.959,2.419,2.826,1.872,-1.359,-0.838,1.187,-0.001,2.365
20,100,-0.611,-2.818,-2.838,-1.364,-4.504,-2.469,-2.469,-0.523,0.531,-2.936,-1.365,0.155,-1.960,-0.677,-1.106,-0.592,0.223,-0.018,2.926,1.754,-0.229,1.599,1.776,1.747,-1.115,-1.299,-0.042,-0.571,0.089,-0.842,-1.159,0.010,-4.133,-2.846,-0.736,0.324,-2.957,-3.944,-1.104,0.620,-2.164,0.319,0.226,-1.373,0.304,-0.071,0.256,-0.154,0.828,-0.714,1.195,1.189,2.278,0.199,0.533,2.463,-0.560,-4.301,-1.153,-2.653,0.072,0.900
