previous,sample,freq,rep
0,16287,20,1
0,16487,20,1
0,16687,20,1
0,16887,20,1
0,17087,20,1
0,17287,20,1
0,17487,20,1
0,17687,20,1
0,17887,20,1
0,18087,20,1
0,18287,20,1
0,18487,20,1
0,18687,20,1
0,18887,20,1
0,19087,20,1
0,19287,20,1
0,19487,20,1
0,19687,20,1
0,19887,20,1
0,20087,20,1
0,20287,20,1
0,20487,20,1
0,20687,20,1
0,20887,20,1
0,21087,20,1
0,21287,20,1
0,21487,20,1
0,21687,20,1
0,21887,20,1
0,22087,20,1
0,22287,20,1
0,22487,20,1
0,22687,20,1
0,22887,20,1
0,23087,20,1
0,23287,20,1
0,23487,20,1
0,23687,20,1
0,23887,20,1
0,24087,20,1
0,24287,20,1
0,24487,20,1
0,24687,20,1
0,24887,20,1
0,25087,20,1
0,25287,20,1
0,25487,20,1
0,25687,20,1
0,25887,20,1
0,26087,20,1
0,26287,20,1
0,26487,20,1
0,26687,20,1
0,26887,20,1
0,27087,20,1
0,27287,20,1
0,27487,20,1
0,27687,20,1
0,27887,20,1
0,28087,20,1
0,28287,20,1
0,28487,20,1
0,28687,20,1
0,28887,20,1
0,29087,20,1
0,29287,20,1
0,29487,20,1
0,29687,20,1
0,29887,20,1
0,30087,20,1
0,30287,20,1
0,30487,20,1
0,30687,20,1
0,30887,20,1
0,31087,20,1
0,31287,20,1
0,31487,20,1
0,31687,20,1
0,31887,20,1
0,32087,20,1
0,32287,20,1
0,32487,20,1
0,32687,20,1
0,32887,20,1
0,33087,20,1
0,33287,20,1
0,313457,6,2
0,313657,6,2
0,313857,6,2
0,314057,6,2
0,314257,6,2
0,314457,6,2
0,314657,6,2
0,314857,6,2
0,315057,6,2
0,315257,6,2
0,315457,6,2
0,315657,6,2
0,315857,6,2
0,316057,6,2
0,316257,6,2
0,316457,6,2
0,316657,6,2
0,316857,6,2
0,317057,6,2
0,317257,6,2
0,317457,6,2
0,317657,6,2
0,317857,6,2
0,318057,6,2
0,318257,6,2
0,318457,6,2
0,318657,6,2
0,318857,6,2
0,319057,6,2
0,319257,6,2
0,319457,6,2
0,319657,6,2
0,319857,6,2
0,320057,6,2
0,320257,6,2
0,320457,6,2
0,320657,6,2
0,320857,6,2
0,321057,6,2
0,321257,6,2
0,321457,6,2
0,321657,6,2
0,321857,6,2
0,322057,6,2
0,322257,6,2
0,322457,6,2
0,322657,6,2
0,322857,6,2
0,323057,6,2
0,323257,6,2
0,323457,6,2
0,323657,6,2
0,323857,6,2
0,324057,6,2
0,324257,6,2
0,324457,6,2
0,324657,6,2
0,324857,6,2
0,325057,6,2
0,325257,6,2
0,325457,6,2
0,325657,6,2
0,325857,6,2
0,326057,6,2
0,326257,6,2
0,326457,6,2
0,326657,6,2
0,326857,6,2
0,327057,6,2
0,327257,6,2
0,327457,6,2
0,327657,6,2
0,327857,6,2
0,328057,6,2
0,328257,6,2
0,328457,6,2
0,328657,6,2
0,328857,6,2
0,329057,6,2
0,329257,6,2
0,329457,6,2
0,329657,6,2
0,329857,6,2
0,330057,6,2
0,330257,6,2
0,330457,6,2
0,330657,6,2
0,330857,6,2
0,331057,6,2
0,331257,6,2
0,331457,6,2
